0, 0, 0, 
17, 17, 17, 
34, 34, 34, 
51, 51, 51, 
68, 68, 68, 
85, 85, 85, 
102, 102, 102, 
119, 119, 119, 
36, 24, 140, 
0, 0, 168, 
68, 0, 156, 
140, 0, 116, 
168, 0, 16, 
164, 0, 0, 
124, 8, 0, 
64, 44, 0, 
0, 68, 0, 
0, 80, 0, 
0, 60, 20, 
24, 60, 92, 
60, 188, 252, 
92, 148, 252, 
64, 136, 252, 
244, 120, 252, 
252, 116, 180, 
252, 116, 96, 
252, 152, 56, 
240, 188, 60, 
128, 208, 16, 
76, 220, 72, 
88, 248, 152, 
0, 232, 216, 
255, 255, 255, 
238, 238, 238, 
221, 221, 221, 
204, 204, 204, 
187, 187, 187, 
170, 170, 170, 
153, 153, 153, 
136, 136, 136, 
0, 112, 236, 
32, 56, 236, 
128, 0, 240, 
188, 0, 188, 
228, 0, 88, 
216, 40, 0, 
200, 76, 12, 
136, 112, 0, 
0, 148, 0, 
0, 168, 0, 
0, 144, 56, 
0, 128, 136, 
168, 228, 252, 
196, 212, 252, 
212, 200, 252, 
252, 196, 252, 
252, 196, 216, 
252, 188, 176, 
252, 216, 168, 
252, 228, 160, 
224, 252, 160, 
168, 240, 188, 
176, 252, 204, 
156, 252, 240, 
0, 0, 0, 
29, 43, 83, 
126, 37, 83, 
0, 135, 81, 
171, 82, 54, 
95, 87, 79, 
194, 195, 199, 
255, 241, 232, 
255, 0, 77, 
255, 163, 0, 
255, 236, 39, 
0, 228, 54, 
41, 173, 255, 
131, 118, 156, 
255, 119, 168, 
255, 204, 170, 
0, 0, 0, 
15, 169, 189, 
89, 102, 54, 
103, 113, 88, 
127, 130, 87, 
167, 162, 121, 
178, 197, 83, 
199, 194, 154, 
248, 168, 51, 
255, 255, 255, 
